序号	平台	问题时间	上线时间	注册资本(万元)	地区	事件类型
1	手投网	17-Dec	15-Jul	5000	北京	提现困难
2	虹宁e贷	17-Dec	17-Oct	0	上海	跑路
3	不再凡投资	17-Dec	17-Aug	2000	上海	提现困难
4	方林资本	17-Dec	16-Jun	5000	浙江	停业
5	恒享金服	17-Dec	16-Mar	10000	湖北	停业
6	楚易贷	17-Dec	15-Sep	5000	湖北	停业
7	资邦财富	17-Dec	16-Jul	6200	安徽	停业
8	普天众投	17-Dec	15-Aug	5000	湖南	停业
9	鑫诚投资	17-Dec	16-Mar	5000	安徽	停业
10	e趣钱袋	17-Dec	16-Jun	5000	上海	停业
11	八通金福	17-Dec	17-May	10000	上海	转型
12	鑫广金融	17-Dec	17-May	5800	浙江	跑路
13	好鑫人	17-Dec	17-Sep	10000	浙江	提现困难
14	众资本	17-Dec	17-Jun	2000	上海	提现困难
15	万盛金融	17-Dec	17-Feb	5000	浙江	提现困难
16	米利财富	17-Dec	14-Nov	20000	浙江	经侦介入
17	财智投资	17-Dec	17-Jul	2000	福建	跑路
18	天伦金服	17-Dec	17-Sep	5000	浙江	提现困难
19	鼎鑫财富	17-Dec	14-Sep	1000	湖南	停业
20	万坚贷	17-Dec	17-May	0	浙江	停业
21	宏金多	17-Dec	16-Dec	6000	河南	停业
22	融和贷	17-Dec	15-Jan	10000	安徽	跑路
23	妥妥当	17-Dec	15-May	5400	安徽	提现困难
24	酷有财	17-Dec	17-Jun	2000	上海	跑路
25	金鼠袋	17-Dec	17-Nov	10000	上海	停业
26	东上金服	17-Dec	17-Sep	0	湖北	提现困难
27	票票管家	17-Dec	16-Jan	3000	四川	停业
28	金牛座	17-Dec	14-Aug	10000	北京	停业
29	易久贷	17-Dec	14-Jun	1088	安徽	停业
30	马尚贷	17-Dec	14-Oct	5000	北京	停业
31	东宏金融	17-Dec	17-Mar	10000	北京	提现困难
32	爱投易贷	17-Dec	16-Aug	2000	安徽	提现困难
33	小红理财	17-Dec	16-Apr	1000	北京	停业
34	大爱金融	17-Dec	15-Nov	12000	福建	停业
35	钻鑫贷	17-Dec	14-Nov	1800	浙江	跑路
36	合贷网	17-Dec	14-May	1000	广东	停业
37	54贷客	17-Dec	15-Jun	1805	上海	停业
38	新贷联盟	17-Dec	16-Apr	1000	上海	提现困难
39	盈聚宝	17-Nov	16-Aug	5000	浙江	经侦介入
40	e贷51	17-Nov	15-Dec	1000	北京	提现困难
41	高隆贷	17-Nov	15-Oct	5000	浙江	停业
42	盈信金服	17-Nov	17-Aug	22000	上海	提现困难
43	点投财富	17-Nov	16-Mar	5200	江西	停业
44	牛牛金服	17-Nov	15-Dec	3000	山东	提现困难
45	小宝在线	17-Nov	16-Feb	1000	上海	停业
46	钱胖胖	17-Nov	14-Oct	1000	上海	停业
47	博拓创投	17-Nov	14-Jul	2300	广东	停业
48	印子坊	17-Nov	14-May	1000	广东	停业
49	大牛金融	17-Nov	15-Dec	5000	上海	停业
50	熙牛金服	17-Nov	17-Sep	0	上海	提现困难
51	盛新财富	17-Nov	17-Sep	0	江苏	提现困难
52	利金贷	17-Nov	15-Mar	1176	上海	停业
53	80资本	17-Nov	14-Dec	3000	陕西	停业
54	乐猫金融	17-Nov	16-May	10000	上海	停业
55	火火理财	17-Nov	16-Nov	5080	湖南	停业
56	车商金融	17-Nov	16-Dec	0	江苏	停业
57	航石资本	17-Nov	15-Aug	5000	广东	停业
58	车厘子理财	17-Nov	16-Sep	5000	广东	停业
59	盈利盒子	17-Nov	17-Feb	3000	北京	停业
60	金海金服	17-Nov	17-Mar	5000	江西	停业
61	融圣360	17-Nov	15-Jun	10000	湖南	停业
62	大乾柜	17-Nov	16-Sep	5000	江苏	停业
63	开图财富	17-Nov	13-Dec	3000	陕西	停业
64	好运来金融	17-Nov	16-Jan	5000	福建	提现困难
65	昱天财富	17-Nov	14-Jun	1000	浙江	停业
66	融信速贷	17-Nov	15-Nov	5000	河北	停业
67	万盛金服	17-Nov	17-Oct	3000	江苏	提现困难
68	华巨投资	17-Nov	14-Mar	1008	广西	停业
69	盛京金服	17-Nov	17-Jan	3000	辽宁	提现困难
70	天融财富	17-Nov	15-Jun	5000	云南	停业
71	零壹金服	17-Nov	15-Jan	5000	上海	停业
72	小草金融	17-Nov	15-Nov	0	浙江	提现困难
73	巨涟金融	17-Nov	14-Dec	10000	上海	转型
74	智富圈	17-Nov	14-Jun	1000	广东	停业
75	黔金所	17-Nov	16-Apr	1200	贵州	停业
76	财富汇	17-Nov	14-Jul	2000	重庆	停业
77	同创金融	17-Nov	16-Jul	5680	贵州	停业
78	农贷360	17-Nov	14-Dec	1100	河南	停业
79	昌久财富	17-Nov	17-Jul	6000	浙江	跑路
80	摇钱树(浙)	17-Oct	16-Apr	3000	浙江	转型
81	福汇财富	17-Oct	15-Mar	50	陕西	停业
82	德铢财富	17-Oct	15-Mar	6000	山东	停业
83	三明股份	17-Oct	17-Jul	0	河北	停业
84	仟佰贷	17-Oct	14-Sep	1000	河南	停业
85	庆协投资	17-Oct	14-Oct	9000	浙江	停业
86	信互贷	17-Oct	11-Dec	500	浙江	停业
87	新易贷	17-Oct	13-Dec	500	河南	停业
88	鑫胜贷	17-Oct	15-Aug	300	浙江	停业
89	聚诚贷	17-Oct	14-Sep	5000	湖北	停业
90	壹禄壹贷	17-Oct	15-Oct	11000	陕西	停业
91	昌和财富	17-Oct	17-Apr	6000	浙江	提现困难
92	宝易通	17-Oct	17-Feb	0	江苏	停业
93	去哪投	17-Oct	15-Mar	6000	北京	停业
94	融宝网	17-Oct	15-Feb	0	江西	停业
95	新资本	17-Oct	15-Sep	10000	北京	停业
96	诚天财富	17-Oct	15-Oct	5000	山东	提现困难
97	金贝贝	17-Oct	16-Mar	5000	辽宁	提现困难
98	车投宝	17-Oct	16-Jun	5000	江西	提现困难
99	诚信贷	17-Oct	14-Nov	10000	北京	提现困难
100	宝通网	17-Oct	17-Mar	10000	广东	提现困难
101	金苏在线	17-Oct	16-Dec	5000	江苏	提现困难
102	松鼠金融	17-Oct	15-Oct	5000	北京	停业
103	菲润天下	17-Oct	17-Jun	0	安徽	跑路
104	浙东贷	17-Oct	15-Sep	0	浙江	提现困难
105	盛齐财富	17-Oct	15-Mar	2000	山东	转型
106	上海圆慈投资	17-Oct	16-Jul	0	山东	提现困难
107	淘金社	17-Oct	16-Mar	5000	山东	提现困难
108	正大财富	17-Oct	15-Apr	5000	山东	停业
109	荷银商务	17-Oct	15-Apr	5000	山东	停业
110	茗圣创投	17-Oct	17-Sep	12000	四川	跑路
111	罗威财富	17-Oct	17-Aug	0	安徽	提现困难
112	合众金服	17-Oct	15-Sep	10000	北京	提现困难
113	鸿沧资本	17-Oct	17-Aug	4500	贵州	跑路
114	小豆钱包	17-Oct	17-May	5500	北京	提现困难
115	汇客通宝	17-Oct	16-Mar	1000	福建	提现困难
116	国盈金服	17-Oct	17-Mar	5000	北京	提现困难
117	富捷金服	17-Oct	16-Aug	5000	江苏	提现困难
118	亿港财行	17-Oct	17-Aug	0	江西	停业
119	长江创投	17-Oct	15-Jul	3000	安徽	停业
120	趣投资	17-Oct	15-Sep	5000	广东	提现困难
121	久汇资本	17-Oct	17-May	10000	浙江	跑路
122	缑祥投资	17-Oct	17-Feb	0	上海	跑路
123	溢隆贷	17-Oct	17-Aug	0	甘肃	跑路
124	象象财富	17-Oct	17-Jun	5000	浙江	跑路
125	骏龙财富	17-Oct	17-May	10000	四川	跑路
126	懒人投资(粤)	17-Oct	13-Sep	1000	广东	停业
127	优加聚财	17-Oct	17-Aug	0	辽宁	跑路
128	元正财通	17-Oct	17-Jun	5000	浙江	提现困难
129	聚兴财富	17-Oct	17-Feb	0	浙江	提现困难
130	德合在线	17-Oct	17-May	5000	江苏	提现困难
131	方泰财富	17-Oct	17-Aug	3200	安徽	提现困难
132	中盈金服	17-Oct	16-May	0	浙江	提现困难
133	苏常网	17-Sep	17-Feb	5800	江苏	提现困难
134	财富农场	17-Sep	16-Jan	2000	上海	提现困难
135	人人融通	17-Sep	17-Jul	5000	浙江	提现困难
136	众善服务	17-Sep	16-Jul	3000	贵州	停业
137	亿鑫金融	17-Sep	14-Jul	6000	浙江	停业
138	蜂赢金服	17-Sep	15-Nov	0	湖北	停业
139	卓越理财	17-Sep	15-Aug	1000	广东	停业
140	大圣理财	17-Sep	16-Jan	20000	上海	提现困难
141	海岸鑫贷	17-Sep	15-Feb	0	山东	提现困难
142	敢投网	17-Sep	13-Jun	1000	贵州	停业
143	中鼎创盈	17-Sep	15-Oct	5000	湖北	停业
144	雄图创投	17-Sep	16-Oct	1000	云南	停业
145	豆蔓智投	17-Sep	14-Mar	5000	北京	提现困难
146	天天赢	17-Sep	14-Oct	3000	广东	停业
147	正能贷	17-Sep	13-Aug	1000	上海	转型
148	响当当	17-Sep	14-Sep	5000	北京	跑路
149	宜投金服	17-Sep	15-Jul	3000	浙江	提现困难
150	金猫在线	17-Sep	17-May	6001	河南	提现困难
151	果轩财富	17-Sep	17-Aug	5000	上海	停业
152	虹腾财富	17-Sep	17-Jun	5800	浙江	提现困难
153	金联创	17-Sep	17-Aug	0	广东	跑路
154	合米金服	17-Sep	14-Jul	1000	上海	提现困难
155	华扶金贷	17-Sep	17-Jul	5000	浙江	提现困难
156	好融资	17-Sep	16-Oct	1000	重庆	停业
157	蛙蛙在线	17-Sep	16-May	10000	广东	提现困难
158	宝澜君业	17-Sep	17-Jan	516	北京	提现困难
159	智融财富	17-Sep	14-Oct	5500	广东	跑路
160	企乐贷	17-Sep	17-Jun	5000	浙江	提现困难
161	中亿华商	17-Sep	17-May	0	北京	跑路
162	爱派金信	17-Sep	17-Jul	1000	江苏	提现困难
163	百姓贷	17-Sep	16-Mar	25000	上海	跑路
164	中易融通	17-Sep	15-Aug	1000	浙江	停业
165	丰储宝	17-Sep	13-Dec	1000	上海	停业
166	百贾金	17-Sep	17-Mar	3000	上海	跑路
167	嘉柏利	17-Sep	17-Apr	2000	河南	跑路
168	锦宏贷	17-Sep	16-Apr	5000	浙江	停业
169	雍铄金融	17-Sep	17-Mar	10000	北京	停业
170	中智魔方	17-Sep	16-Aug	10000	北京	跑路
171	99财富	17-Sep	15-Jan	5000	江苏	提现困难
172	拉拉财富	17-Sep	15-Jan	5000	广东	提现困难
173	田金所	17-Sep	17-Apr	8000	广东	跑路
174	兢业金服	17-Sep	14-Nov	2000	上海	跑路
175	好会理财	17-Sep	16-Feb	10000	天津	停业
176	网行金融	17-Sep	15-Apr	3000	上海	提现困难
177	金统贷	17-Sep	15-Nov	5000	江苏	提现困难
178	深宜金服	17-Sep	14-Jun	5000	广东	提现困难
179	广润财富	17-Sep	15-Jan	10000	湖南	跑路
180	学信贷	17-Sep	14-Nov	1000	广西	提现困难
181	普天金安	17-Sep	16-Jul	5000	北京	提现困难
182	海河金融	17-Sep	15-Jan	5556	天津	提现困难
183	点理财	17-Sep	16-Jul	10000	上海	停业
184	小象金融	17-Sep	17-Jul	8000	上海	提现困难
185	亿企聚财	17-Sep	17-Jan	5000	上海	提现困难
186	甬商贷	17-Sep	13-May	2000	浙江	停业
187	银河易贷	17-Sep	16-Mar	5000	江苏	停业
188	泽聚财富	17-Sep	16-Jun	2200	山东	停业
189	信投财富	17-Sep	14-Jul	10000	安徽	停业
190	宜昌贷	17-Sep	15-May	5000	湖北	停业
191	三分贷	17-Sep	14-Mar	2000	湖南	停业
192	盼贷网	17-Sep	11-Dec	1000	北京	经侦介入
193	华银金融	17-Sep	14-Nov	10000	广东	停业
194	酷盈网	17-Sep	16-Mar	5000	北京	提现困难
195	狮子座金融	17-Sep	15-Dec	1000	广东	提现困难
196	钱加网	17-Sep	17-Jul	9888	浙江	提现困难
197	金豆包	17-Sep	16-May	5001	北京	提现困难
198	中仁财富	17-Sep	15-Dec	10000	广东	提现困难
199	车房贷	17-Sep	14-Apr	7000	辽宁	停业
200	鸿强财富	17-Sep	17-Jul	5800	浙江	提现困难
201	乐投天下	17-Sep	14-Oct	1513	北京	跑路
202	迅隆贷	17-Sep	16-Oct	5000	浙江	停业
203	宏鑫宝	17-Aug	14-Jun	10000	上海	提现困难
204	盛欣财富	17-Aug	16-Oct	3000	内蒙古	停业
205	民宝贷	17-Aug	15-Sep	1000	广东	停业
206	乐融在线	17-Aug	15-Mar	1000	广东	停业
207	富一贷	17-Aug	14-Jul	0	湖北	停业
