序号,平台,问题时间,上线时间,注册资本(万元),地区,事件类型
1,手投网,Dec-17,Jul-15,5000,北京,提现困难
2,虹宁e贷,Dec-17,Oct-17,0,上海,跑路
3,不再凡投资,Dec-17,Aug-17,2000,上海,提现困难
4,方林资本,Dec-17,Jun-16,5000,浙江,停业
5,恒享金服,Dec-17,Mar-16,10000,湖北,停业
6,楚易贷,Dec-17,Sep-15,5000,湖北,停业
7,资邦财富,Dec-17,Jul-16,6200,安徽,停业
8,普天众投,Dec-17,Aug-15,5000,湖南,停业
9,鑫诚投资,Dec-17,Mar-16,5000,安徽,停业
10,e趣钱袋,Dec-17,Jun-16,5000,上海,停业
11,八通金福,Dec-17,May-17,10000,上海,转型
12,鑫广金融,Dec-17,May-17,5800,浙江,跑路
13,好鑫人,Dec-17,Sep-17,10000,浙江,提现困难
14,众资本,Dec-17,Jun-17,2000,上海,提现困难
15,万盛金融,Dec-17,Feb-17,5000,浙江,提现困难
16,米利财富,Dec-17,Nov-14,20000,浙江,经侦介入
17,财智投资,Dec-17,Jul-17,2000,福建,跑路
18,天伦金服,Dec-17,Sep-17,5000,浙江,提现困难
19,鼎鑫财富,Dec-17,Sep-14,1000,湖南,停业
20,万坚贷,Dec-17,May-17,0,浙江,停业
21,宏金多,Dec-17,Dec-16,6000,河南,停业
22,融和贷,Dec-17,Jan-15,10000,安徽,跑路
23,妥妥当,Dec-17,May-15,5400,安徽,提现困难
24,酷有财,Dec-17,Jun-17,2000,上海,跑路
25,金鼠袋,Dec-17,Nov-17,10000,上海,停业
26,东上金服,Dec-17,Sep-17,0,湖北,提现困难
27,票票管家,Dec-17,Jan-16,3000,四川,停业
28,金牛座,Dec-17,Aug-14,10000,北京,停业
29,易久贷,Dec-17,Jun-14,1088,安徽,停业
30,马尚贷,Dec-17,Oct-14,5000,北京,停业
31,东宏金融,Dec-17,Mar-17,10000,北京,提现困难
32,爱投易贷,Dec-17,Aug-16,2000,安徽,提现困难
33,小红理财,Dec-17,Apr-16,1000,北京,停业
34,大爱金融,Dec-17,Nov-15,12000,福建,停业
35,钻鑫贷,Dec-17,Nov-14,1800,浙江,跑路
36,合贷网,Dec-17,May-14,1000,广东,停业
37,54贷客,Dec-17,Jun-15,1805,上海,停业
38,新贷联盟,Dec-17,Apr-16,1000,上海,提现困难
39,盈聚宝,Nov-17,Aug-16,5000,浙江,经侦介入
40,e贷51,Nov-17,Dec-15,1000,北京,提现困难
41,高隆贷,Nov-17,Oct-15,5000,浙江,停业
42,盈信金服,Nov-17,Aug-17,22000,上海,提现困难
43,点投财富,Nov-17,Mar-16,5200,江西,停业
44,牛牛金服,Nov-17,Dec-15,3000,山东,提现困难
45,小宝在线,Nov-17,Feb-16,1000,上海,停业
46,钱胖胖,Nov-17,Oct-14,1000,上海,停业
47,博拓创投,Nov-17,Jul-14,2300,广东,停业
48,印子坊,Nov-17,May-14,1000,广东,停业
49,大牛金融,Nov-17,Dec-15,5000,上海,停业
50,熙牛金服,Nov-17,Sep-17,0,上海,提现困难
51,盛新财富,Nov-17,Sep-17,0,江苏,提现困难
52,利金贷,Nov-17,Mar-15,1176,上海,停业
53,80资本,Nov-17,Dec-14,3000,陕西,停业
54,乐猫金融,Nov-17,May-16,10000,上海,停业
55,火火理财,Nov-17,Nov-16,5080,湖南,停业
56,车商金融,Nov-17,Dec-16,0,江苏,停业
57,航石资本,Nov-17,Aug-15,5000,广东,停业
58,车厘子理财,Nov-17,Sep-16,5000,广东,停业
59,盈利盒子,Nov-17,Feb-17,3000,北京,停业
60,金海金服,Nov-17,Mar-17,5000,江西,停业
61,融圣360,Nov-17,Jun-15,10000,湖南,停业
62,大乾柜,Nov-17,Sep-16,5000,江苏,停业
63,开图财富,Nov-17,Dec-13,3000,陕西,停业
64,好运来金融,Nov-17,Jan-16,5000,福建,提现困难
65,昱天财富,Nov-17,Jun-14,1000,浙江,停业
66,融信速贷,Nov-17,Nov-15,5000,河北,停业
67,万盛金服,Nov-17,Oct-17,3000,江苏,提现困难
68,华巨投资,Nov-17,Mar-14,1008,广西,停业
69,盛京金服,Nov-17,Jan-17,3000,辽宁,提现困难
70,天融财富,Nov-17,Jun-15,5000,云南,停业
71,零壹金服,Nov-17,Jan-15,5000,上海,停业
72,小草金融,Nov-17,Nov-15,0,浙江,提现困难
73,巨涟金融,Nov-17,Dec-14,10000,上海,转型
74,智富圈,Nov-17,Jun-14,1000,广东,停业
75,黔金所,Nov-17,Apr-16,1200,贵州,停业
76,财富汇,Nov-17,Jul-14,2000,重庆,停业
77,同创金融,Nov-17,Jul-16,5680,贵州,停业
78,农贷360,Nov-17,Dec-14,1100,河南,停业
79,昌久财富,Nov-17,Jul-17,6000,浙江,跑路
80,摇钱树(浙),Oct-17,Apr-16,3000,浙江,转型
81,福汇财富,Oct-17,Mar-15,50,陕西,停业
82,德铢财富,Oct-17,Mar-15,6000,山东,停业
83,三明股份,Oct-17,Jul-17,0,河北,停业
84,仟佰贷,Oct-17,Sep-14,1000,河南,停业
85,庆协投资,Oct-17,Oct-14,9000,浙江,停业
86,信互贷,Oct-17,Dec-11,500,浙江,停业
87,新易贷,Oct-17,Dec-13,500,河南,停业
88,鑫胜贷,Oct-17,Aug-15,300,浙江,停业
89,聚诚贷,Oct-17,Sep-14,5000,湖北,停业
90,壹禄壹贷,Oct-17,Oct-15,11000,陕西,停业
91,昌和财富,Oct-17,Apr-17,6000,浙江,提现困难
92,宝易通,Oct-17,Feb-17,0,江苏,停业
93,去哪投,Oct-17,Mar-15,6000,北京,停业
94,融宝网,Oct-17,Feb-15,0,江西,停业
95,新资本,Oct-17,Sep-15,10000,北京,停业
96,诚天财富,Oct-17,Oct-15,5000,山东,提现困难
97,金贝贝,Oct-17,Mar-16,5000,辽宁,提现困难
98,车投宝,Oct-17,Jun-16,5000,江西,提现困难
99,诚信贷,Oct-17,Nov-14,10000,北京,提现困难
100,宝通网,Oct-17,Mar-17,10000,广东,提现困难
101,金苏在线,Oct-17,Dec-16,5000,江苏,提现困难
102,松鼠金融,Oct-17,Oct-15,5000,北京,停业
103,菲润天下,Oct-17,Jun-17,0,安徽,跑路
104,浙东贷,Oct-17,Sep-15,0,浙江,提现困难
105,盛齐财富,Oct-17,Mar-15,2000,山东,转型
106,上海圆慈投资,Oct-17,Jul-16,0,山东,提现困难
107,淘金社,Oct-17,Mar-16,5000,山东,提现困难
108,正大财富,Oct-17,Apr-15,5000,山东,停业
109,荷银商务,Oct-17,Apr-15,5000,山东,停业
110,茗圣创投,Oct-17,Sep-17,12000,四川,跑路
111,罗威财富,Oct-17,Aug-17,0,安徽,提现困难
112,合众金服,Oct-17,Sep-15,10000,北京,提现困难
113,鸿沧资本,Oct-17,Aug-17,4500,贵州,跑路
114,小豆钱包,Oct-17,May-17,5500,北京,提现困难
115,汇客通宝,Oct-17,Mar-16,1000,福建,提现困难
116,国盈金服,Oct-17,Mar-17,5000,北京,提现困难
117,富捷金服,Oct-17,Aug-16,5000,江苏,提现困难
118,亿港财行,Oct-17,Aug-17,0,江西,停业
119,长江创投,Oct-17,Jul-15,3000,安徽,停业
120,趣投资,Oct-17,Sep-15,5000,广东,提现困难
121,久汇资本,Oct-17,May-17,10000,浙江,跑路
122,缑祥投资,Oct-17,Feb-17,0,上海,跑路
123,溢隆贷,Oct-17,Aug-17,0,甘肃,跑路
124,象象财富,Oct-17,Jun-17,5000,浙江,跑路
125,骏龙财富,Oct-17,May-17,10000,四川,跑路
126,懒人投资(粤),Oct-17,Sep-13,1000,广东,停业
127,优加聚财,Oct-17,Aug-17,0,辽宁,跑路
128,元正财通,Oct-17,Jun-17,5000,浙江,提现困难
129,聚兴财富,Oct-17,Feb-17,0,浙江,提现困难
130,德合在线,Oct-17,May-17,5000,江苏,提现困难
131,方泰财富,Oct-17,Aug-17,3200,安徽,提现困难
132,中盈金服,Oct-17,May-16,0,浙江,提现困难
133,苏常网,Sep-17,Feb-17,5800,江苏,提现困难
134,财富农场,Sep-17,Jan-16,2000,上海,提现困难
135,人人融通,Sep-17,Jul-17,5000,浙江,提现困难
136,众善服务,Sep-17,Jul-16,3000,贵州,停业
137,亿鑫金融,Sep-17,Jul-14,6000,浙江,停业
138,蜂赢金服,Sep-17,Nov-15,0,湖北,停业
139,卓越理财,Sep-17,Aug-15,1000,广东,停业
140,大圣理财,Sep-17,Jan-16,20000,上海,提现困难
141,海岸鑫贷,Sep-17,Feb-15,0,山东,提现困难
142,敢投网,Sep-17,Jun-13,1000,贵州,停业
143,中鼎创盈,Sep-17,Oct-15,5000,湖北,停业
144,雄图创投,Sep-17,Oct-16,1000,云南,停业
145,豆蔓智投,Sep-17,Mar-14,5000,北京,提现困难
146,天天赢,Sep-17,Oct-14,3000,广东,停业
147,正能贷,Sep-17,Aug-13,1000,上海,转型
148,响当当,Sep-17,Sep-14,5000,北京,跑路
149,宜投金服,Sep-17,Jul-15,3000,浙江,提现困难
150,金猫在线,Sep-17,May-17,6001,河南,提现困难
